SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"IDEA","13.53","14.19","13.49","13.51","14.11","-","0.6","4.44","778908986","1,088.91","15.34","6.12","3.22","129.43"
"APOLLOHOSP","8,615.00","8,925.00","8,588.50","8,600.00","8,920.50","-","330.5","3.85","1275740","1,127.45","9,050.00","6,696.50","-0.15","14.05"
"OFSS","11,449.00","11,850.00","11,318.00","11,420.00","11,828.00","-","408","3.57","258662","301.35","11,979.00","6,234.50","1.75","37.75"
"BHARTIARTL","1,939.10","2,005.80","1,932.00","1,939.10","1,992.10","-","53","2.73","12282580","2,441.37","2,174.50","1,740.50","3.85","6.31"
"JUBLFOOD","495.35","521.00","495.00","491.55","504.10","-","12.55","2.55","12894239","657.37","670.45","408.55","17.49","-20.22"
"ADANIPORTS","1,658.00","1,700.00","1,657.20","1,658.00","1,700.00","-","42","2.53","1978204","333.40","1,891.10","1,290.50","-7.06","30.74"
"FORTIS","905.90","929.00","897.60","906.15","929.00","-","22.85","2.52","1535625","140.41","1,104.30","766.80","-4.83","-0.32"
"VOLTAS","1,292.00","1,347.50","1,290.00","1,289.50","1,320.50","-","31","2.4","2374305","313.85","1,582.50","1,186.80","-4.13","3.58"
"ADANIENT","2,965.00","3,048.00","2,950.00","2,964.90","3,035.10","-","70.2","2.37","1666749","502.24","3,245.00","1,753.00","-3.67","33.03"
"HAVELLS","1,270.00","1,303.40","1,262.20","1,270.00","1,298.00","-","28","2.2","834715","107.80","1,621.10","1,123.60","10.24","-12.25"
"ADANIGREEN","1,319.00","1,348.00","1,315.10","1,319.00","1,348.00","-","29","2.2","1093447","145.95","1,631.50","765.00","-13.33","46.92"
"ADANIENSOL","1,588.00","1,624.00","1,575.00","1,583.00","1,616.00","-","33","2.08","7047548","1,129.05","1,789.00","744.90","-3.69","108.3"
"SUPREMEIND","3,497.00","3,585.00","3,446.50","3,497.00","3,558.90","-","61.9","1.77","239576","84.84","4,664.90","3,140.00","2.92","-17.19"
"HAL","4,940.00","5,047.00","4,924.20","4,945.00","5,029.90","-","94.9","1.92","1537351","767.03","5,055.00","3,479.10","13.79","10.42"
"MFSL","1,555.00","1,574.90","1,511.20","1,512.40","1,538.10","-","25.7","1.7","3968114","612.90","1,892.50","1,433.60","-4.53","-3.77"
"BDL","1,381.60","1,419.80","1,347.30","1,375.50","1,398.00","-","22.5","1.64","8457532","1,170.47","1,654.00","1,086.00","9.97","-11.4"
"CUMMINSIND","5,348.00","5,426.00","5,339.50","5,315.00","5,400.00","-","85","1.6","415052","223.87","6,100.00","3,729.50","-2.69","42.69"
"BPCL","314.85","319.45","314.05","315.00","319.45","-","4.45","1.41","8035947","255.17","391.65","266.60","3.18","0.44"
"UNITDSPR","1,515.50","1,545.50","1,510.10","1,515.00","1,536.00","-","21","1.39","603589","92.76","1,548.70","1,210.80","11.84","16.43"
"KFINTECH","929.00","946.50","911.70","929.00","940.00","-","11","1.18","813246","75.71","1,215.00","784.95","5.15","-16.73"
"PETRONET","279.25","283.50","277.15","279.30","282.60","-","3.3","1.18","4682500","131.55","326.40","235.35","1.51","3.94"
"GVT&D","4,325.30","4,367.70","4,272.00","4,304.70","4,350.00","-","45.3","1.05","785600","340.13","5,650.00","2,523.20","-7.38","52.94"
"PERSISTENT","5,549.00","5,618.50","5,447.00","5,523.00","5,580.00","-","57","1.03","633514","351.75","6,599.00","4,244.50","9.93","5.5"
"POWERINDIA","35,385.00","36,230.00","35,280.00","35,360.00","35,700.00","-","340","0.96","113737","406.65","38,785.00","16,111.00","5.06","75.04"
"LODHA","1,237.90","1,254.60","1,227.00","1,232.30","1,243.90","-","11.6","0.94","1145101","142.33","1,344.95","650.80","7.01","1"
"APLAPOLLO","2,060.00","2,099.00","2,037.00","2,064.30","2,083.30","-","19","0.92","594481","123.51","2,301.40","1,578.00","14.64","29.52"
"MANKIND","2,412.50","2,458.00","2,412.50","2,404.40","2,425.20","-","20.8","0.87","465158","113.36","2,674.00","1,909.70","-4.64","-1.92"
"BOSCHLTD","46,810.00","47,315.00","46,480.00","46,750.00","47,100.00","-","350","0.75","33575","157.68","47,315.00","28,610.00","13.64","22.07"
"ICICIBANK","1,403.00","1,417.80","1,401.00","1,406.80","1,417.00","-","10.2","0.73","6097934","859.72","1,480.00","1,187.60","0.06","-0.72"
"MOTILALOFS","900.05","905.95","890.00","897.50","903.70","-","6.2","0.69","473233","42.62","1,097.10","614.90","-6.59","-2.74"
"DIXON","14,009.00","14,209.00","13,999.00","14,035.00","14,130.00","-","95","0.68","206105","291.11","18,471.00","9,600.00","3.51","-12.73"
"AMBER","7,170.50","7,350.00","7,055.00","7,175.00","7,222.00","-","47","0.66","749611","541.94","8,974.00","5,400.50","-8.01","4.74"
"PAGEIND","37,750.00","38,290.00","36,620.00","36,520.00","36,750.00","-","230","0.63","119084","444.51","47,310.00","29,805.00","-9.02","-15.55"
"MOTHERSON","167.42","169.28","166.71","167.40","168.30","-","0.9","0.54","10509453","176.75","172.00","89.86","18.43","80.77"
"WIPRO","183.55","185.84","183.10","183.10","184.00","-","0.9","0.49","7366162","135.82","273.10","169.00","5.35","-25.45"
"SAIL","167.99","171.60","158.73","168.68","169.51","-","0.83","0.49","28039740","464.67","209.70","118.10","2.96","40.82"
"UNIONBANK","187.33","189.34","186.39","186.50","187.38","-","0.88","0.47","17139005","321.48","205.49","124.64","8.7","38.96"
"ICICIPRULI","506.00","512.00","501.00","507.00","509.15","-","2.15","0.42","778149","39.56","706.80","459.50","-3.05","-18.74"
"CGPOWER","886.55","892.55","878.20","886.55","890.15","-","3.6","0.41","1539330","136.65","980.90","525.50","-4.2","33.67"
"BHEL","419.95","430.00","416.55","420.00","421.70","-","1.7","0.4","11362612","482.52","446.50","205.12","0.9","90.53"
"DALBHARAT","1,843.70","1,849.00","1,822.30","1,834.60","1,842.00","-","7.4","0.4","83214","15.32","2,496.30","1,605.00","0.95","-18.87"
"PNB","117.88","118.90","117.40","117.59","118.00","-","0.41","0.35","11249012","132.88","135.15","98.50","11.63","11.03"
"MAZDOCK","2,571.00","2,603.70","2,554.00","2,571.00","2,580.00","-","9","0.35","1101261","284.64","3,061.40","2,057.40","8.89","-5.2"
"BAJAJ-AUTO","11,698.00","11,785.00","11,665.00","11,661.00","11,700.00","-","39","0.33","241415","283.03","11,863.00","8,189.00","13.34","42.45"
"LICI","411.00","416.15","406.25","412.15","413.50","-","1.35","0.33","14993510","619.13","468.48","360.75","-5.97","-53.42"
"INDUSTOWER","383.15","388.55","379.45","383.20","384.35","-","1.15","0.3","5956784","229.61","481.50","312.55","-5.54","15.42"
"HDFCBANK","725.00","729.60","723.50","725.00","727.00","-","2","0.28","20364131","1,480.39","1,020.50","722.00","-10.85","-63.49"
"JSWENERGY","557.20","561.75","554.95","558.60","560.00","-","1.4","0.25","1214322","67.80","617.35","427.75","1.84","5.83"
"MANAPPURAM","348.00","352.00","344.55","348.40","349.00","-","0.6","0.17","3722962","129.94","381.55","245.15","6.21","31.2"
"ETERNAL","317.80","325.00","316.80","318.00","318.50","-","0.5","0.16","30147388","967.22","368.45","212.60","8.04","0.03"
"MPHASIS","2,537.00","2,556.90","2,501.00","2,541.00","2,545.00","-","4","0.16","370677","93.97","3,037.20","2,013.00","8.8","-6.44"
"DLF","664.00","669.85","659.60","664.00","665.00","-","1","0.15","1527565","101.69","794.80","489.40","1.1","-11.52"
"ICICIGI","1,633.80","1,633.80","1,616.00","1,628.00","1,630.00","-","2","0.12","534759","87.00","2,064.90","1,544.60","-10.17","-14.13"
"MARICO","864.45","867.05","857.65","864.45","865.20","-","0.75","0.09","1050654","90.73","889.10","690.30","2.46","21.76"
"BANKBARODA","248.00","250.79","247.50","248.00","248.22","-","0.22","0.09","7812221","194.60","325.50","230.81","0.03","2.24"
"BEL","410.45","412.50","408.25","410.50","410.80","-","0.3","0.07","7388147","303.15","473.45","361.20","-0.04","6.73"
"CROMPTON","245.10","248.50","243.15","248.15","248.30","-","0.15","0.06","1750971","43.04","337.50","217.40","-4.33","-22.36"
"OBEROIRLTY","1,855.00","1,863.00","1,835.10","1,846.00","1,846.00","-","0","0","259326","47.93","1,986.10","1,391.20","-2.21","14.01"
"UNOMINDA","1,240.30","1,246.90","1,230.10","1,240.00","1,240.00","-","0","0","185823","23.00","1,382.00","994.00","7.11","7.84"
"M&M","3,425.00","3,430.00","3,378.30","3,428.20","3,428.30","-","0.1","0","1032969","352.31","3,839.90","2,896.00","11.2","4.99"
"NYKAA","329.95","332.90","328.55","331.15","331.00","-","-0.15","-0.05","2229320","73.66","348.00","210.00","0.58","53.85"
"GLENMARK","2,320.00","2,341.60","2,307.20","2,320.00","2,318.40","-","-1.6","-0.07","629081","146.17","2,474.00","1,792.60","0.91","13.39"
"SUNPHARMA","1,932.00","1,937.00","1,914.70","1,932.00","1,930.00","-","-2","-0.1","881282","169.40","2,046.90","1,548.00","-1.1","17.58"
"SRF","2,609.00","2,616.70","2,587.60","2,608.70","2,606.00","-","-2.7","-0.1","168380","43.77","3,210.00","2,355.00","-6.11","-8.3"
"ITC","278.35","278.35","275.95","278.50","278.20","-","-0.3","-0.11","7338537","203.38","427.00","275.00","0.56","-32.39"
"TATAELXSI","3,778.10","3,809.50","3,751.70","3,778.00","3,772.70","-","-5.3","-0.14","93110","35.13","5,950.00","3,353.90","7.17","-33.6"
"TITAN","5,064.00","5,090.50","5,046.40","5,063.70","5,056.20","-","-7.5","-0.15","587764","298.10","5,168.00","3,303.10","10.41","44.9"
"PIIND","2,478.80","2,505.00","2,461.00","2,494.30","2,490.10","-","-4.2","-0.17","352632","87.80","3,917.80","2,457.00","-4.93","-32.52"
"POLICYBZR","1,743.40","1,754.60","1,732.10","1,744.00","1,741.00","-","-3","-0.17","751002","131.05","1,974.00","1,364.00","8.08","-5.08"
"PIDILITIND","1,690.10","1,707.50","1,684.40","1,696.10","1,693.00","-","-3.1","-0.18","680220","115.63","1,707.50","1,259.00","7.92","-45.13"
"WAAREEENER","2,703.90","2,703.90","2,660.10","2,687.00","2,682.00","-","-5","-0.19","372863","99.71","3,865.00","2,403.00","-4.65","-6.97"
"TATAPOWER","382.50","390.40","379.60","382.80","382.05","-","-0.75","-0.2","8187038","316.35","464.90","342.50","0.3","-0.84"
"POWERGRID","267.00","268.20","265.75","266.60","266.05","-","-0.55","-0.21","6758273","180.37","324.95","250.00","-5.22","-7.85"
"BAJAJHLDNG","11,540.00","11,541.00","11,387.00","11,500.00","11,475.00","-","-25","-0.22","31456","36.00","14,763.00","8,588.00","8.96","-18.82"
"INDIANB","890.00","902.80","885.30","897.00","894.95","-","-2.05","-0.23","732478","65.37","1,000.90","642.60","7.75","33.92"
"INDHOTEL","717.90","723.65","715.10","721.75","720.00","-","-1.75","-0.24","1365381","98.08","811.95","565.00","-3.12","-7.02"
"DMART","4,074.80","4,098.90","4,038.00","4,070.00","4,060.00","-","-10","-0.25","357867","145.47","4,949.50","3,529.00","3.33","-6.84"
"GRASIM","3,264.80","3,264.80","3,221.00","3,257.00","3,248.70","-","-8.3","-0.25","476082","154.30","3,411.10","2,502.50","5.27","17.5"
"360ONE","1,179.00","1,191.50","1,167.00","1,183.00","1,180.00","-","-3","-0.25","396813","46.78","1,236.20","906.05","7.41","13.63"
"DIVISLAB","8,499.50","8,574.50","8,465.50","8,500.00","8,477.00","-","-23","-0.27","340336","290.10","8,674.00","5,636.50","16.55","38.23"
"GODREJCP","941.50","942.60","930.00","936.90","934.30","-","-2.6","-0.28","2075321","194.47","1,309.00","906.30","-11.25","-21.15"
"KOTAKBANK","393.10","394.35","389.85","392.40","391.15","-","-1.25","-0.32","9519332","373.17","453.20","345.50","3.37","-80.23"
"FEDERALBNK","352.00","354.60","351.05","352.45","351.30","-","0.05","0.01","2420967","85.39","371.70","188.40","7.25","79.36"
"LT","4,068.70","4,072.50","4,033.10","4,070.70","4,057.00","-","-13.7","-0.34","934044","378.59","4,440.00","3,288.10","7.22","10.33"
"BAJFINANCE","1,090.80","1,098.50","1,085.20","1,090.80","1,087.00","-","-3.8","-0.35","4225781","461.09","1,176.40","787.90","6.43","26.18"
"RVNL","228.00","228.92","225.55","228.15","227.35","-","-0.8","-0.35","2580170","58.55","400.70","220.16","0.17","-29.85"
"AXISBANK","1,216.00","1,218.70","1,208.60","1,221.80","1,217.40","-","-4.4","-0.36","5557745","674.60","1,418.30","1,042.50","-7.23","13.97"
"TECHM","1,635.00","1,652.00","1,614.40","1,639.00","1,632.80","-","-6.2","-0.38","3398051","551.53","1,854.00","1,304.10","8.95","9.83"
"INDUSINDBK","1,022.50","1,026.60","1,014.20","1,024.70","1,020.80","-","-3.9","-0.38","1034094","105.35","1,077.85","710.60","1.1","32.61"
"JSWSTEEL","1,267.30","1,276.70","1,260.30","1,275.00","1,270.00","-","-5","-0.39","975420","123.77","1,335.00","1,022.30","3.51","21.47"
"LICHSGFIN","502.00","502.10","498.00","502.00","500.00","-","-2","-0.4","874975","43.71","598.20","458.90","-9.12","-12.17"
"BLUESTARCO","1,514.00","1,527.50","1,497.10","1,514.00","1,508.00","-","-6","-0.4","322229","48.53","2,040.00","1,450.00","-14.02","-15.53"
"TRENT","2,947.70","3,020.60","2,945.00","2,990.00","2,978.00","-","-12","-0.4","1648536","494.36","3,782.67","2,183.67","3.85","-44.55"
"CDSL","1,355.00","1,358.30","1,338.30","1,350.00","1,344.40","-","-5.6","-0.41","482964","64.97","1,673.70","1,116.30","-6.65","-13.81"
"EICHERMOT","8,100.00","8,143.00","8,030.00","8,100.00","8,066.50","-","-33.5","-0.41","297145","241.01","8,230.00","5,648.50","8.94","39.95"
"ADANIPOWER","205.91","208.14","205.00","206.10","205.25","-","-0.85","-0.41","13864195","285.78","254.20","116.22","-6.27","-64.86"
"HDFCLIFE","539.50","540.00","535.60","538.05","535.85","-","-2.2","-0.41","805941","43.37","815.00","530.50","-5.78","-32.06"
"CANBK","131.80","131.80","127.77","131.80","131.25","-","-0.55","-0.42","10082358","131.68","162.89","103.55","3.78","20.13"
"AMBUJACEM","419.60","419.85","416.00","419.40","417.50","-","-1.9","-0.45","1586889","66.23","605.45","394.00","-4.08","-27.77"
"PHOENIXLTD","1,898.30","1,900.00","1,880.10","1,898.50","1,890.00","-","-8.5","-0.45","204495","38.67","2,169.80","1,420.20","-11.37","32.17"
"MAXHEALTH","1,013.30","1,017.90","981.10","1,013.30","1,008.60","-","-4.7","-0.46","4051822","407.76","1,301.70","903.00","-8.53","-17.38"
"INFY","1,170.40","1,174.10","1,158.90","1,175.00","1,169.20","-","-5.8","-0.49","5844763","682.04","1,728.00","982.40","8.63","-19.24"
"DRREDDY","1,205.90","1,205.90","1,192.40","1,206.00","1,200.00","-","-6","-0.5","2136998","256.18","1,414.90","1,101.00","-2.4","-4.79"
"MARUTI","13,905.00","13,943.00","13,760.00","13,905.00","13,834.00","-","-71","-0.51","216810","300.78","17,370.00","12,201.00","1.85","6.94"
"GODFRYPHLP","2,160.00","2,167.90","2,141.40","2,160.00","2,149.00","-","-11","-0.51","121955","26.24","3,947.00","1,832.10","3.07","-78.9"
"NESTLEIND","1,506.90","1,515.80","1,496.10","1,506.90","1,499.10","-","-7.8","-0.52","1500577","226.06","1,553.00","1,084.70","5.24","37.61"
"PATANJALI","353.85","353.85","347.20","353.85","352.00","-","-1.85","-0.52","2464334","86.22","615.00","328.20","1.18","-80.05"
"RELIANCE","1,317.00","1,317.50","1,301.50","1,317.00","1,310.00","-","-7","-0.53","10497358","1,373.34","1,611.80","1,249.80","1.12","-4.64"
"BANKINDIA","145.00","145.00","143.11","144.87","144.10","-","-0.77","-0.53","3859204","55.62","178.36","109.85","-0.76","27.31"
"RADICO","4,670.50","4,670.50","4,575.60","4,675.20","4,650.00","-","-25.2","-0.54","311862","144.28","4,675.20","2,500.00","13.69","62.72"
"GAIL","175.40","175.40","173.45","175.90","174.90","-","-1","-0.57","4645490","80.84","186.87","134.36","1.01","0.56"
"HDFCAMC","2,502.50","2,507.20","2,470.20","2,499.50","2,485.00","-","-14.5","-0.58","1564593","388.31","2,967.25","2,205.60","-8.95","-54.74"
