Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
EMBASSY,RR,439.1,-2.98,41622.01,573.65,2496.65
BSE,EQ,3314.2,-3.85,135180.94,21.13,700.49
IPCALAB,EQ,1878.2,8.3,47650.73,23.84,452.09
HAL,EQ,5094.6,1.29,340714.11,6.51,332.78
PWL,EQ,125.74,7.36,36475.75,265.84,331.26
HINDCOPPER,EQ,553.2,4.56,53495.77,57.14,313.69
BHARTIARTL,EQ,1985.3,-0.34,1238835.28,15.11,300.28
NETWEB,EQ,5185.5,3.56,29526.59,4.72,242.01
MANORAMA,EQ,1811.8,4.3,11436.51,12.09,221.82
CUPID,EQ,288.08,-1.97,38736.99,70.56,203.08
BDL,EQ,1386.8,-0.8,50834.89,14.47,202.64
PURVA,EQ,242.49,11.13,5750.64,82.94,200.58
AMBER,EQ,7348.5,1.75,25916.52,2.58,188.97
MARKSANS,EQ,334.15,0.35,15142.47,55,186.65
ETERNAL,EQ,318.1,-0.13,306977.65,56.15,179.06
VOLTAS,EQ,1286.4,-2.58,42565.01,13.52,176.31
RUBICON,EQ,1677.3,3.59,27764.67,10.01,167.06
RELIANCE,EQ,1305.2,-0.37,1766266.95,12.23,159.93
ZAGGLE,EQ,160.48,-20,2157.79,89.75,147.52
AZAD,EQ,2893.1,6.45,18684.14,4.54,127.47
RATNAVEER,EQ,237.76,3.3,1698.24,53.18,126.52
LEAPIND,EQ,152.16,4.99,6703.2,79.07,121.27
HDFCBANK,EQ,725.85,-0.16,1118490.7,16.63,120.69
ASHOKLEY,EQ,174.64,1.75,102581,67.81,118.58
COCHINSHIP,EQ,1468.7,-1.86,38638.67,7.88,115.99
SCHNEIDER,EQ,1209,-11.7,28907.68,9.48,115.8
AXISBANK,EQ,1222.3,0.4,380475.37,9.49,115.8
PATANJALI,EQ,355.15,0.89,38644.18,32.23,114.03
M&M,EQ,3429.4,0.03,426455.78,3.3,113.41
TDPOWERSYS,EQ,1523,2.59,23793.59,7.43,112.24
PTCIL,EQ,19432,2.01,29133.52,0.57,112.02
ZEEL,EQ,103.17,0.87,9909.68,98.97,102.64
KMEW,EQ,2805.6,2.74,6901.78,3.56,102.29
IDEA,EQ,13.96,-1.06,151246.88,729.02,102.14
ONGC,EQ,237.9,0.63,299284.84,40.36,95.8
CPPLUS,EQ,3363,-4.43,39784.44,2.8,94.01
UFLEX,EQ,560.15,14.69,4044.93,16.47,93.51
KRN,EQ,1519.9,3.51,9949.04,6.13,93.25
LGEINDIA,EQ,1711,-1.08,116137.96,5.36,92.33
ICICIBANK,EQ,1415.3,-0.12,1015641.69,6.44,91.2
BELRISE,EQ,241.38,-5.47,23345.11,37.63,91.06
GALAXYSURF,EQ,2517.4,0.36,8925.38,3.62,90.26
JIOFIN,EQ,246.75,-0.92,162932.52,36.23,89.32
ATHERENERG,EQ,1504,-0.5,59331.77,5.83,88.49
TCS,EQ,2331.4,-1.25,843520.92,3.68,85.97
APARINDS,EQ,16661,-0.18,69763.5,0.51,85.05
NMDC,EQ,81.4,-3.55,71565.39,103.31,84.79
MOREPENLAB,EQ,85.65,1.73,4693.22,96.03,82.08
NATIONALUM,EQ,385,2.39,70710.32,21.26,81.05
BALUFORGE,EQ,515.8,4.47,6261.39,15.1,78.23
SOLARINDS,EQ,20114,0.73,182011.7,0.38,77.56
BAJAJHLDNG,EQ,11414,-0.53,127030.41,0.67,76.01
LAURUSLABS,EQ,1814,1.49,98001.27,4.16,75.37
ADANIENSOL,EQ,1617.1,0.07,197763.97,4.65,75.32
MCX,EQ,2927.4,0.55,74646.31,2.57,74.96
BHEL,EQ,429.9,1.94,149693.9,17.05,72.58
FINCABLES,EQ,1296.7,4,19831.64,5.58,71.76
MOTILALOFS,EQ,929.1,2.81,55945.45,7.75,71.24
LASERPOWER,EQ,306.7,1.25,4305.1,22.94,71.07
SBIN,EQ,1058.4,-0.87,976968.57,6.27,66.32
SILVERBEES,EQ,223.75,1.14,32045.78,28.73,64.25
AVALON,EQ,2035,4.85,13596.19,3.16,63.7
BEL,EQ,411.6,0.19,300870.5,15.33,63.07
HFCL,EQ,224.57,0.65,34372.74,27.97,62.48
APOLLOHOSP,EQ,8941,0.23,128557.86,0.69,62.18
MAZDOCK,EQ,2593.9,0.54,104632.74,2.38,61.92
INFY,EQ,1151.9,-1.48,467447.54,5.33,61.66
MOTISONS,EQ,16.59,-0.96,1887.12,367.28,61.56
MUNJALAU,EQ,124.89,3.62,1248.9,48.6,61.5
KERNEX,EQ,1940.1,-4.15,3260.07,3.14,61.48
DATAPATTNS,EQ,4520,1.44,25304.75,1.36,61.45
KALYANKJIL,EQ,611.65,0.56,63167.55,10.04,60.98
KAYNES,EQ,3687.1,0.73,24716.35,1.63,59.89
GROWW,EQ,197.86,0.86,124129.38,29.1,57.46
ADANIENT,EQ,3028.2,-0.23,409845.55,1.89,57.43
DIXON,EQ,14215,0.6,86913.54,0.4,56.47
WELSPUNLIV,EQ,168.27,2.57,15897.35,33.14,55.6
BAJFINANCE,EQ,1084,-0.28,674856.59,4.84,52.35
ADANIPORTS,EQ,1691.5,-0.5,389714.68,2.99,50.62
HINDPETRO,EQ,372,-0.4,79155,13.54,50.1
KWIL,EQ,36.33,0.94,8536.07,134.41,48.95
